original,translate
Ферментирали Млечни Продукти,Prodotti lattiero-caseari fermentati
Сирене,Formaggio
Козе Сирене,Koza Serena.
Пастьоризирано Сирене,Formaggio pastorizzato
Cacahuètes Enrobées D'Un Biscuit Pour Apéritif,Arachidi avvolte in un biscotto per l'aperitivo
Cacahuètes Au Wasabi,Arachidi al Wasabi
Nudeln,Tagliatelle
Glutenfrei,Senza glutine
Glutenfreie Nudeln,Pasta senza glutine
En:Gluten-Free Dry Pasta,Pasta secca senza glutine
Teas,Tè.
Lemon Teas,Tè al limone
Tea-Based Beverages,Bevande a base di tè
Still Soft Drink With Tea Extract,Bevanda analcolica con estratto di tè
Still Soft Drink With Tea Extract Flavoured With Sugar,Bevanda analcolica con estratto di tè aromatizzata con zucchero
Vegetable Oils,Oli vegetali
Olive Oils,Oli d'oliva
Extra-Virgin Olive Oils,Oli extravergine di oliva
Virgin Olive Oils,Oli di oliva vergini
Konserven,cibo in scatola
Gemüsebasierte Lebensmittel,Alimenti a base di verdure
Konserven-Produkte Auf Pflanzlicher Basis,Prodotti vegetali in scatola
Gemüse,Verdure
Gemüsekonserven,Verdure in scatola
Tomaten Und Tomatenprodukte,Pomodori e prodotti a base di pomodoro
Tomaten,Pomodoro
Dosentomaten,Pomodori in scatola
En:Tomato Pulps,Tomato Pulps
Cibi A Base Di Frutta,Cibi A Base Di Frutta
Confetture E Marmellate,Confetture E Marmellate
Confetture,Confetture
Confetture Di Frutti Di Bosco,Confetture Di Frutti Di Bosco
Confettura Di Frutta Mista,Confettura Di Frutta Mista
Confettura Ai Frutti Di Bosco,Confettura Ai Frutti Di Bosco
Obiloviny,Cereali
Těstoviny,Pasta
En:Noodles,Tagliatelle
En:Rice Vermicelli,Rice Vermicelli
En:Dried Rice Noodles,Tagliatelle di riso essiccate
Yaourts Natures,Natura Yaourts
Yaourts À La Grecque,Yogurt greco
Sauces Au Fromage,Salse al formaggio
Chocolat Noir À Moins De 70% De Cacao En Tablette,Tavoletta di cioccolato fondente con meno del 70% di cacao
Pétales De Blé,Petali di grano
Biscuits Aux Céréales,Biscotti ai cereali
Biscuits Petits-Déjeuners,Biscotti per la colazione
Jus Multifruits Pur Jus,Succo multi-frutto puro
Fisch Und Meeresfrüchte,Pesce e frutti di mare
Fisch,Pesce
Lachs,Salmone
Räucherfisch,Pesce affumicato
Räucherlachs,Salmone affumicato
Räucherlachs Aus Aquakultur,Salmone affumicato da acquacoltura
Biscuits Bâtonnets Au Chocolat,Biscotti al cioccolato
Fette,Grassi
Streichfette (Milch- Und Nichtmilcherzeugnisse),Grassi spalmabili (latte e prodotti non caseari)
Pflanzenfette,Grassi vegetali
Margarinen,Margarine
Streichfette,Grassi spalmabili
Bevanda-Al-Latte-Fermentata,Bevanda Al Latte Fermentata
Milk Kefir Bio,Kefir di latte Bio
Pasta Di Grano Duro Integrale,Pasta Di Grano Duro Integrale
Caffè,Caffè
Caffè Macinato,Caffè Macinato
Es:Descafeinado,Decaffeinato
Galettes Végétariennes,Torte vegetariane
Barrette,Barrette
Barrette Di Cereali,Barrette Di Cereali
Supplementi Dietetici,Supplementi Dietetici
Integratori Per Bodybuilding,Integratori Per Bodybuilding
Barrette Proteiche,Barrette Proteiche
Pétales De Blé Complet,Petali di grano integrale
Aliments À Base De Plantes Frais,Alimenti freschi a base vegetale
Mélange De Céréales Et Légumineuses,Cereali misti e legumi
Crêpes Et Galettes,Frittelle e galette
Galettes,Galettes
Mélanges De Flocons De Céréales,Miscele di fiocchi di cereali
Galettes De Céréales Soufflées,Polpette di cereali soffiati
Galettes De Riz Soufflé,Torte soufflé di riso
Galettes De Riz Complet Soufflé,Soufflé di riso integrale
Spaghetti Di Grano Duro,Spaghetti Di Grano Duro
Frutti Di Mare,Frutti Di Mare
Pesci,Pesci
Pesce In Scatola,Pesce In Scatola
Tonno,Tonno
Tonno In Scatola,Tonno In Scatola
Tonno Sott'Olio,Tonno Sott'Olio
Tonno Sott'Olio Di Oliva,Tonno Sott'Olio Di Oliva
Es:Tostadas-De-Pan-Integral,Pane integrale
Barrette Di Cioccolato,Barrette Di Cioccolato
Barrette Di Cereali Con Cioccolato,Barrette Di Cereali Con Cioccolato
Barres Chocolatées Biscuitées,Barrette di biscotti al cioccolato
Mezclas De Copos De Cereales,Miscele di fiocchi di cereali
En:Chocolate Candies,Caramelle al cioccolato
Napilitane,Napilitane
Napolitane Umplute,Napolitane Umplute
Napolitane Umplute Cu Caramel,Napolitane Umplute Cu Caramel
Lebkuchen,Pan di zenzero
Fruit Cakes,Torte di frutta
En:Extruded Wheat Flakes,Fiocchi di grano estrusi
Scamorza,Scamorza
Erbe E Piante Aromatiche,Erbe E Piante Aromatiche
Prodotti Disidratati,Prodotti Disidratati
Cibi Disidratati A Base Di Vegetali,Cibi Disidratati A Base Di Vegetali
Cipolle E Derivati,Cipolle E Derivati
Cipolle Fritte,Cipolle Fritte
Fr:Oingons-Frits,Fritte di Oingons
It:Taiwan,Taiwan
Flatbreads,Pane piatto
White Breads,Pane bianco
Wheat Breads,Pane di grano
Wheat Flatbreads,Pane piatto di grano
Panini,Panini
Hamburger,Amburgo
Hamburger Vegetali,Hamburger Vegetali
Burger Vegetali,Hamburger vegetariano
Aceti,Aceti
Aceto Balsamico,Aceto Balsamico
Aceto Balsamico Tradizionale,Aceto Balsamico Tradizionale
Aceto Balsamico Di Modena,Aceto Balsamico Di Modena
Aceto Balsamico Tradizionale Di Modena,Aceto Balsamico Tradizionale Di Modena
Préparations De Poisson,Preparazioni di pesce
Bevande Alcoliche,Bevande Alcoliche
En:Pastis,Pastis
En:Antipasti,Antipasti
En:Patatine,Patatine
En:Patatine Aromatizzate,Patatine Aromatizzate
En:Patatine E Fritti,Patatine E Fritti
En:Patatine Sottili,Patatine Sottili
En:Snacks Salati,Snack Insalate
It:Biscotti-Integrali,Biscotti Integrali
It:Frollini Con Farina Integrale Di Grano Saraceno E Gocce Di Cioccolato,Frollini Con Farina Integrale Di Grano Saraceno E Gocce Di Cioccolato
Biscotti Integrali,Biscotti Integrali
Pralinen,Cioccolatini
Milchschokolade,Cioccolato al latte
Caramel Chocolates,Cioccolatini al caramello
Milk Chocolate With Caramel,Cioccolato al latte con caramello
Caramelos,Caramella mou
Chocolates Con Leche,Cioccolatini con Leche
Dulces,Dolci
Formaggio Fresco,Formaggio Fresco
It:Formaggio-Fresco,Formaggio Fresco
Biscotti Con Farina Integrale Di Frumento,Biscotti Con Farina Integrale Di Frumento
It:Foglie D'Ulivo,Foglie D'Ulivo
Sobremesas,Dolci
Sobremesas De Laticínios,Dolci a base di latte
En:Puddings,Budini
Sobremesas De Chocolate,Dolci al cioccolato
Cremes De Sobremesa,Creme per dessert
En:Chocolate Creamy Puddings,Budini cremosi al cioccolato
Cremes De Sobremesa Refrigerados,Creme da dessert fredde
En:Refrigerated Chocolate Creamy Puddings,Budini cremosi al cioccolato refrigerati
Broths,Brodi
Dehydrated Broths,Brodi disidratati
Vegetable Broths,Brodi vegetali
Bouillon Powders,Polveri di brodo
Dehydrated Vegetable Bouillons,Bouillons di verdure disidratate
Vegetable Bouillon Powders,Brodo vegetale in polvere
Madeleines,Madeleine
Madeleines Natures,Madeleine Natures
Barres De Céréales Au Chocolat,Barrette di cereali al cioccolato
Fruits À Coques Décortiqués,Noci sgusciate
Amandes,Mandorle
Amandes Salées,Mandorle salate
Amandes Grillées,Mandorle tostate
Amandes Grillées Et Salées,Mandorle tostate e salate
Amandes Décortiquées,Mandorle sgusciate
Sauces À La Viande,Salse di carne
Sauces Barbecue,Salse Barbecue
Chocolats Noirs À L'Orange,Cioccolatini all'arancia scura
Vinegars,Aceti
Balsamic Vinegars,Balsamic Vinegars
Balsamic Vinegars Of Modena,Aceti Balsamici di Modena
Hartweizenteigwaren,Pasta di grano duro
Fr:Pâtes Sèche Au Blé Dur,Pasta secca di grano duro
Cioccolato,Cioccolato
Cioccolato Fondente,Cioccolato Fondente
Latte Ad Alta Conservazione,Latte Ad Alta Conservazione
Latte Ad Alta Digeribilità,Latte Ad Alta Digeribilità
Latte Senza Lattosio,Latte Senza Lattosio
Plats À Base De Pâtes,Piatti di pasta
Pâtes Farcies,Pasta ripiena
Pates Farcies Aux Légumes,Pasta ripiena con verdure
Ravioli,Ravioli
Pâte Ravioli,Pasta per ravioli
Confetture Di Fragole,Confetture Di Fragole
Patatine,Patatine
Cereais E Batatas,Cereali e patate
Cereais E Seus Produtos,Cereali e loro prodotti
Cereias Para Pequeno-Almoçco,Cereali per la prima colazione
Potato Crisps,Potato Crisps
En:Bevande Zuccherate,Bevande Zuccherate
Boissons Chaudes,Bevande calde
Infusions,Infusioni
Infusions En Sachets,Borse per infusione
Céréales Préparées,Cereali preparati
Tomates Pelées,Pomodori pelati
Tomates Entières Pelées Au Jus,Pomodori interi pelati Au Jus
Biscuits Feuilletés,Biscotti di pasta sfoglia
Palmiers,Palme
Milks,Latte
Homogenized Milks,Latte omogeneizzato
Uht Milks,Latte Uht
Lactose-Free Milk,Latte senza lattosio
Lactose Free Dairies,Latterie senza lattosio
Coni Gelato,Coni Gelato
Chicchi Soffiati,Chicchi Soffiati
Cereali Soffiati,Cereali Soffiati
En:Alimentos De Origen Vegetal,Alimenti a base vegetale
En:Alimentos Y Bebidas De Origen Vegetal,Alimenti e bevande a base vegetale
En:Cereales Con Frutas,Cereali con frutta
En:Cereales Para El Desayuno,Cereali per la prima colazione
En:Cereales Y Derivados,Cereali e derivati
En:Cereales Y Patatas,Cereali e Patate
En:Desayunos,Colazione
En:Mueslis Con Frutas,Mueslis di frutta
Crusca,Crusca
Crusche Di Cereali,Crusche Di Cereali
Bananes Séchées,Banane secche
Tranches De Bananes Frites Et Sucrées,Fette di banana fritte e zuccherate
Fr:Bonbons Dragéifiés,Dolci ricoperti di zucchero
Petits Panés,Piccolo pangrattato
Chips De Manioc,Patatine fritte di manioca
Chips-De-Manioc-A-La-Crevette,Chips De Manioc A La Crevette
Crakers,Crakers
Boissons À La Canneberge,Bevande al mirtillo rosso
Crèmes De Vinaigre,Creme all'aceto
Crèmes De Vinaigre Balsamique,Creme all'aceto balsamico
Toasts Briochés,Crostini Briochés
Agrumes,Agrumes
Pamplemousses,Pamplemousses
Jus De Pamplemousse,Jus de Pamplemousse
Pomélos,Pomélos
Jus De Pamplemousse À Base De Concentré,Succo di pompelmo concentrato
Jus De Pamplemousse Rose,Jus de Pamplemousse Rose
Barquettes,Vassoi
Barquettes Au Chocolat,Barrette di cioccolato
Durum Wheat Pasta With Egg,Pasta di grano duro con uovo
Fr:Pâte À  Lasagnes,Pasta per lasagne
En:Cream Alternatives,Alternative alla crema
Muesli All'Avena,Muesli All'Avena
Chocolate Truffles,Tartufi al cioccolato
Huile D'Olive Bio,Huile D'Olive Bio
En:Biscotti Secchi,Biscotti Secchi
Festive Foods,Cibi per le feste
Chocolate Molds,Stampi per cioccolato
Easter Food,Cibo di Pasqua
Chocolate Eggs,Uova di cioccolato
Easter Eggs,Uova di Pasqua
Hollow Chocolate Eggs,Uova di cioccolato cave
Bilberries Jams,Marmellata di mirtilli
It:Marmellata,Marmellata
Latte Di Legumi,Latte Di Legumi
Bevanda Di Soia,Bevanda Di Soia
Ales,Ales
Country Specific Beers,Birre specifiche per paese
Abbey Ales,Birre d'Abbazia
Belgian Beers,Birre belghe
Triple Ales,Triple Ales
Yogurts,Yogurt
It:Yogurt-Greco-Bianco,Yogurt Greco Bianco
Semi Di Girasole E Derivati,Semi Di Girasole E Derivati
Semi Di Girasole,Semi Di Girasole
Burro-Di-Arachidi,Burro Di Arachidi
Coconutmilk Yogurts,Yogurt al latte di cocco
Petit-Beurre,Petit Beurre
Gluten-Free Biscuits,Biscotti senza glutine
Mueslis Aux Fruits À Coque,Mueslis con noci
Mayonnaises,Maionesi
Mayonnaises De Dijon,Maionese di Digione
Sucres En Morceaux,Zucchero a pezzi
Aliments Et Boissons À Base De Légumes,Alimenti e bevande a base vegetale
Aides Culinaires,Aiuti culinari
Purées De Tomates,Passata di pomodoro
Croquants Aux Amandes,Croccantini alle mandorle
Tuile Aux Amandes,Tuile alle mandorle
Crêpe E Galette,Crêpe E Galette
Pancake,Frittelle
It:Pasta-Integrale,Pasta Integrale
Prodotti Impanati,Prodotti Impanati
Pane Di Segale,Pane Di Segale
En:Integratori Per Bodybuilding,Integratori Per Bodybuilding
En:Supplementi Dietetici,Supplementi Dietetici
En:Dessert-Proteico,Dessert Proteico
Rye Breads,Pane di segale
Rolled Oats,Avena arrotolata
Merendine,Merendine
En:Cereals-Based Beverages,Bevande a base di cereali
Orzo Solubile,Orzo Solubile
Barattolo-C-Pap-84,Barattolo C Pap 84
Coperchio Ldpe 4,Coperchio Ldpe 4
Membrana-C-Pap-81,Membrana C Pap 81
Orzo-Tostato-Solubile,Orzo Tostato Solubile
Orzoro,Orzoro
Kuchen,Torta
Schokoladenkuchen,Torta al cioccolato
Filets De Maquereaux Grillés,Filetti di sgombro alla griglia
Maïs Doux,Mais dolce
Noix De Cajou Salées,Anacardi salati
Sandwichs,Panini
Hamburgers,Hamburger
Boudoirs,Boudoir
Bizcocho,Bizcocho
Noisettes,Noisettes
Barres De Céréales Aux Fruits À Coques,Barrette di cereali con noci
Barre Céréalière Aux Amandes Ou Aux Noisettes,Barretta di cereali alle mandorle o alle nocciole
Barres De Fruits À Coques,Barrette alle noci
Barre Céréalière Aux Noisettes,Barretta di cereali alla nocciola
Barrita De Cereales Con Almendras O Avellanas,Barretta di cereali con mandorle o nocciole
Barrita De Cereales Con Avellanas,Barretta di cereali alla nocciola
Barritas,Barritas
Barritas De Cereales,Barrette di cereali
Produits À Tartiner Salés,Spalmati salati
Houmous,Houmous
Houmous Classiques,Hummus classico
Drop Cookies,Biscotti a goccia
Chocolate Chip Cookies,Biscotti con gocce di cioccolato
Chocolate And Hazelnut Cookies,Biscotti al cioccolato e nocciole
Spéculoos,Spéculoos
Sablés Nappés De Chocolat,Frollini ricoperti di cioccolato
Sandwichs Au Poisson,Panini Au Poisson
Purées D'Oléagineux,Puree di semi oleosi
Beurres De Fruits À Coques,Burri di noci
En:Barres Protéinées,Barrette proteiche
Паста Сосове,Sughi per pasta
Доматен Сос,Salsa di pomodoro
En:Tomato Sauces With Cheese,Salse al pomodoro con formaggio
Доматен Сос С Рикота,Salsa di pomodoro con ricotta
Noodles,Tagliatelle
Crema Di Nocciole,Crema Di Nocciole
Grassi Spalmabili,Grassi Spalmabili
Grassi Animali,Grassi Animali
Prodotti A Base Di Grassi Del Latte,Prodotti A Base Di Grassi Del Latte
Latticini Spalmabili,Latticini Spalmabili
Burro,Burro
Prodotti Delle Api,Prodotti Delle Api
Prodotti Agricoli,Prodotti Agricoli
Edulcoranti,Edulcoranti
Miele,Miele
Boissons Végétales De Légumineuses,Bevande vegetali da legumi
Boissons Végétales De Soja,Bevande di soia vegetali
Boissons De Soja Nature Non Sucrées,Bevande di soia semplici non zuccherate
Cereal Semolinas,Semolini ai cereali
Corn Semolinas,Semolini di mais
Corn Semolinas For Polenta,Semolini di mais per polenta
En:Cereal-Flours,Farine di cereali
En:Filled Sponge Cake Slices,Fette di pan di Spagna farcite
Заместители На Млечни Продукти,Sostituti dei prodotti lattiero-caseari
Десерти,Dolci
Сладки Закуски,Spuntini dolci
En:Non-Dairy Desserts,Dessert non caseari
En:Non-Dairy Fermented Foods,Alimenti fermentati non caseari
En:Non-Dairy Yogurts,Yogurt non caseari
En:Soy Milk Yogurts,Yogurt al latte di soia
En:Мляко,Latte
Greek-Style Yogurts,Yogurt greco
En:Cereal Clusters With Chocolate,Cluster di cereali con cioccolato
Meat Alternatives,Alternative alla carne
Biscuits Aux Fruits,Biscotti alla frutta
Biscuits-Aux-Cereales,Biscotti ai cereali
Huiles D'Olive Raffinées,Oli di oliva raffinati
En:Snacks,Spuntini
En:Desserts,Dolci
En:Sweet Snacks,Spuntini dolci
En:Chocolates,Cioccolatini
En:Milk Chocolates,Cioccolatini al latte
En:Chocolates With Extra Fine Milk,Cioccolatini con latte extrafine
En:Cacao Et Dérivés,Cacao e derivati del cacao
En:Chocolat-Superieur-Au-Lait,Cioccolato al latte superiore
En:Chocolats,Chocolats
Sauces Au Soja,Salse alla soia
Sauces Au Soja Salées,Salse di soia salate
100G,100G
Epices,Epici
Piments,Peperoni
Piments Rouges,Peperoni rossi
Prodotti Di Pasticceria,Prodotti Di Pasticceria
Tiramisù,Tiramisù
En:Artichoke Spreads,Carciofi spalmati
Gallette Di Cereali Soffiati,Gallette Di Cereali Soffiati
Gallette,Gallette
Gallette Di Riso Soffiato,Gallette Di Riso Soffiato
Concentrati Di Pomodoro,Concentrati Di Pomodoro
Wafer,Wafer
Wafer Ripieni,Wafer Ripieni
Pani Speciali,Pani Speciali
Breakfast Biscuit,Biscotto per la colazione
Ro:Energizant,Energisant
Chocolats Au Lait,Cioccolatini al latte
Chocolats Aux Noisettes,Cioccolatini alla nocciola
Chocolats Au Lait Aux Noisettes,Cioccolato al latte con nocciole
Grains Soufflées,Grani soffiati
Céréales Soufflées,Cereali soffiati
Blé Soufflé,Soufflé di grano
Céréales Au Caramel,Cereali al caramello
Céréales Au Miel,Cereali al miele
Mueslis Aux Graines,Mueslis Aux Graines
Compotes,Composte
Compotes De Pomme,Composte di mele
Compotes Pommes Nature,Composte naturali di mele
Compotes Pommes Banane,Composta di mele e banane
Compotes À Boire,Composte da bere
Compotes Pommes Poires,Composte di mele e pere
Compotes Pommes Fraise,Composte di mele e fragole
Génoises Fourrées Aux Fruits Et Nappées De Chocolat,Génoises con ripieno di frutta e cioccolato
En:Sponge-Cake,Pan di Spagna
Biscotti Con Tavoletta Di Cioccolato,Biscotti Con Tavoletta Di Cioccolato
Biscotti Al Cioccolato Al Latte,Biscotti Al Cioccolato Al Latte
Es:Galletas-Con-Tableta-De-Chocolate-Con-Leche,Galletas Con Tableta De Chocolate Con Leche
Thés,Tè
Thés Noirs,Tè neri
Thés Aromatisés,Tè aromatizzati
Thés Noirs Aromatisés,Tè neri aromatizzati
It:Merendina,Merendina
En:Sweet Pastries And Pies,Pasticceria e torte dolci
Biscuits À La Vanille,Biscotti alla vaniglia
Fiocchi Multicereali,Fiocchi Multicereali
Brote,Brote
Backwaren,Backwaren
Glutenfreies Brot,Pane senza glutine
Weißbrote,Pane bianco
Rigatoni,Rigatoni
Oli D'Oliva Dall'Italia,Oli D'Oliva Dall'Italia
En:Rousquilles,Rousquilles
Bevande Analcoliche,Bevande Analcoliche
Confetture Di Mirtilli,Confetture Di Mirtilli
Prodotti Disidratati Da Reidratare,Prodotti Disidratati Da Reidratare
Noodle Istantanei,Noodle Istantanei
Ciocolată,Cioccolato
Barrette Di Cereali Di Noci,Barrette Di Cereali Di Noci
Barretta Di Cereali Con Mandorle O Nocciole,Barretta Di Cereali Con Mandorle O Nocciole
Sardines,Sardines
Canned Sardines,Sardine in scatola
Sardines In Oil,Sarde sott'olio
Untables Vegetales,Creme spalmabili vegetali
Preparaciones A Base De Frutas Y Verduras,Preparazioni di frutta e verdura
Confitura,Confitura
Mermeladas Y Confituras De Frutas Del Bosque,Marmellate e gelatine di frutti di bosco
Mermeladas Y Confituras De Fresa,Funghi e frutta tritata
Bevande A Base Di Frutta,Bevande A Base Di Frutta
Succo E Nettare,Succo E Nettare
Succhi Di Frutta,Succhi Di Frutta
Bevande Senza Zucchero,Bevande Senza Zucchero
Succo Di Mela,Succo Di Mela
Champignons Et Produits Dérivés,Funghi e prodotti a base di funghi
Champignons,Funghi
Mélanges De Champignons,Miscele di funghi
Limonades,Limonate
Boissons Au Thé,Bevande al tè
Thés Glacés,Tè freddi
Thés Glacés Saveur Pêche,Tè freddo al gusto di pesca
Coulis De Tomates,Coulis de Tomates
Chocolats Au Lait Salés,Cioccolatini al latte salati
Chocolats Au Caramel,Cioccolatini al caramello
Chocolats Au Lait Au Caramel,Cioccolatini al latte al caramello
Chocolats Au Lait À La Fleur De Sel,Cioccolatini al latte Fleur De Sel
Produits De La Ruche,Prodotti dell'alveare
Produits D'Élevages,Prodotti per il bestiame
Miels,Miels
Moutardes Au Miel,Senape al miele
Boissons Fermentées,Bevande fermentate
Boissons Lactées Fermentées,Bevande a base di latte fermentato
Kéfir,Kefir
Comidas Preparadas,Pasti preparati
Platos De Pasta,Piatti di pasta
Pastas Alimenticias,Paste alimentari
Pastas Rellenas,Paste Rellenas
Tortellinis,Tortellini
En:Tortellini Ricotta & Spinach,Tortellini Ricotta & Spinach
Tortelloni,Tortelloni
Marmeladen,Marmellate
Meats And Their Products,Carni e prodotti derivati
Meats,Carni
Prepared Meats,Carni preparate
Hams,Prosciutti
Cured Hams,Prosciutti stagionati
Dried Hams,Prosciutti essiccati
Spanish Meat Products,Prodotti di carne spagnoli
Serrano Ham,Serrano Ham
Raw-Cured-Ham,Prosciutto crudo stagionato
Puff Pastry Meals,Pasti di pasta sfoglia
Friands,Friands
Meals With Shellfish,Pasti con crostacei
Assorted Chocolate Candies,Caramelle al cioccolato assortite
Seafood In Puff Pastry,Frutti di mare in pasta sfoglia
Marmalades,Marmellate
Orange-Marmalades,Marmellate di arance
Shortbread Biscuit With Butter,Biscotto di pasta frolla al burro
Confetture Di Albicocca,Confetture Di Albicocca
Gallette Di Mais,Gallette Di Mais
En:Latticini  Latte  Latte Omogenizzato  Latte Uht  Latte Di Mucca  Latte Senza Lattosio,Latticini Latte Latte Omogenizzato Latte Uht Latte Di Mucca Latte Senza Lattosio
Pasta Farcita,Pasta Farcita
Génoises En Tranches Fourrées,Genovesi a fette ripiene
Tavolette Di Cioccolato Fondente Extra,Tavolette Di Cioccolato Fondente Extra
Boisson Au Thé Aromatisée,Bevanda al tè aromatizzata
Boisson Au Thé Aromatisée Sucrée,Bevanda al tè aromatizzata zuccherata
En:Chinotto,Chinotto
It:Chinotto,Chinotto
Tortellini,Tortellini
Orecchiette,Orecchiette
Orechiette,Orechiette
Biscotti Ai Cereali,Biscotti Ai Cereali
Krumiri,Krumiri
En:Cereals And Their Procucts,I cereali e i loro prodotti
Ice Cream Bars,Barrette gelato
Confitture Di Pesca,Confitture Di Pesca
Coffee Drinks,Bevande al caffè
Svačiny,Spuntini
Sladké Svačiny,Spuntini dolci
En:Biscuits And Cakes,Biscotti e torte
Sušenky,Biscotti
Augalinės Kilmės Maisto Produktai Ir Gėrimai,Alimenti e bevande di origine vegetale
Gėrimai,Bevande
Augalinės Kilmės Maisto Produktai,Alimenti di origine vegetale
Karšti Gėrimai,Bevande calde
Kava,Kava
Tirpūs Gėrimai,Bevande solubili
En:Capsules,Capsule
Kavos Kapsulės,Capsule di caffè
Dolce Gusto Formato Kapsulės,Dolce Gusto Formato Kapsulės
Dolce Gusto Formato Kavos Kapsulės,Capsule di caffè formato Dolce Gusto
Bevande All'Aloe Vera,Bevande All'Aloe Vera
Wholegrain Cereal,Cereali integrali
Alimenti Freschi,Alimenti Freschi
Impasto Per Torte,Impasto Per Torte
Fogli Di Pasta Sfoglia,Fogli Di Pasta Sfoglia
En:Hohaldre,Hohaldre
Confetture Di Lamponi,Confetture Di Lamponi
Pains Au Lait Natures,Pane al latte naturale
Ziegenkäse,Formaggio di capra
Burrata,Burrata
Burrata De Bufflonne,Burrata De Bufflonne
Plats À Base De Haricots,Piatti a base di fagioli
Cassoulets,Cassoulets
Cassoulets De Castelnaudary,Cassoulets di Castelnaudary
Gruau,Gruau
Gruau De Blé,Semole di grano
Boulghours,Boulghours
Pommes,Mele
Jus De Pomme À Base De Concentré,Succo di mela da concentrato
Boissons Aux Légumes,Bevande vegetali
Jus De Légumes,Succo di verdura
Jus De Tomates,Jus de Tomates
Haricots Verts,Fagiolini
Légumineuses En Conserve,Legumi in scatola
Haricots Verts En Conserve,Fagioli verdi in scatola
Coquillettes,Molluschi
Coquillettes De Blé Dur,Pasta sfoglia di grano duro
Biscuits Cigarettes,Biscotti Sigarette
Aliments À Base De Plantes Surgelés,Alimenti a base di erbe congelati
Pommes De Terre Préparées,Patate preparate
Pommes De Terre Rissolées,Hashbrowns
Pommes De Terre Normales Préfrites Surgelées,Patate surgelate normali prefritte
Préparations À Base De Pommes De Terre,Preparazioni a base di patate
Pommes De Terre,Patate
Pommes De Terre Rissolées Surgelées,Hashbrowns surgelati
Pommes De Terre Surgelées,Patate congelate
Pommes Rissolées Surgelées Cuites,Patate cotte surgelate
Pommes-Rissolees-Surgelees,Pommes Rissolees Surgelees
Pâtes Sèches Aromatisées Et Colorées,Pasta secca aromatizzata e colorata
Fruit Chutneys,Chutney di frutta
Fig Chutneys,Chutney di fichi
Caramels,Caramelle
Hr:Plant Based Milk,Latte vegetale
Hr:Vegan Milk,Latte vegano
Beurres De Légumineuses,Burri di legumi
Beurres De Cacahuètes,Burro di arachidi
En:Brote,Brote
En:Glutenfreies Brot,Pane senza glutine
En:Glutenfreies Geschnittenes Brot,Pane a fette senza glutine
Vinaigres,Aceti
Vinaigres Balsamiques,Aceti balsamici
Vinaigres Balsamiques De Modène,Aceti Balsamici di Modena
Dolci Senza Latte,Dolci Senza Latte
Latte Di Semi Oleosi,Latte Di Semi Oleosi
Latte Di Mandorla,Latte Di Mandorla
Marmellate,Marmellata
Zucchero Bianco Raffinato,Zucchero Bianco Raffinato
Plats Préparés Frais,Piatti preparati al momento
Pâtes Fraîches,Pasta fresca
Ravioli Frais,Ravioli frais
Raviolis Aux Légumes,Ravioli di verdure
En:Meat Analogous,Carne Analoga
Stracchino,Stracchino
Biscuit With Reduced Sugar,Biscotto con zucchero ridotto
Iced Teas,Tè freddi
Lemon Flavored Iced Teas,Tè freddo al limone
Formaggio Fuso,Formaggio Fuso
Oeufs En Chocolat,Uova di cioccolato
Œufs En Chocolat Fourrés,Uova di cioccolato ripiene
Bueno-Eggs,Uova Bueno
En:Spreads,Spread
En:Sweet Spreads,Spalmature dolci
En:Hazelnut Spreads,Spread alla nocciola
En:Chocolate Spreads,Creme al cioccolato
En:Cocoa And Hazelnuts Spreads,Crema spalmabile al cacao e nocciole
Gustări Sărate,Snack salati
Aperitive,Aperitivo
En:Crackers,Crackers
Băuturi Dulci,Bevande dolci
Bauturi-Din-Fructe,Bevande alla frutta
Lácteos,Latticini
Comidas Fermentadas,Cibi fermentati
Postres,Dolci
Productos Fermentados De La Leche,Prodotti a base di latte fermentato
Postres Lácteos,Dessert a base di latte
Yogures,Yogure
Yogures De Frutas,Yogurt alla frutta
Yogures De Coco,Yogurt al cocco
Insalate Pronte,Insalate Pronte
Quesos,Formaggio
Queso Fresco,Queso Fresco
Quesos Cremosos,Formaggi cremosi
Bonbons Gélifiés,Caramelle di gelatina
Grains De Blé Soufflés,Cereali di grano soffiato
Grains De Blé Soufflés Au Miel,Grani di grano soffiati con miele
En:Boissons,Bevande
En:Boissons Sans Alcool,Bevande analcoliche
En:Citronnades,Citronnades
Double Concentré De Tomate,Doppio concentrato di pomodoro
Concentrés De Tomates,Concentrati di pomodoro
En:Canned-Double-Concentrate-Tomato-Paste,Pasta di pomodoro in scatola a doppio concentrato
Florentins,Fiorentini
Petit Beurre Au Chocolat,Burro al cioccolato
Beurres Doux,Burri dolci
Farfalles,Farfalles
Sauces Samouraï,Salse Samurai
Jus Multifruits À Base De Concentrés,Succo multi-frutto da concentrato
Fusilli De Blé Dur,Fusilli di grano duro
Fromages À Pâte Pressée Non Cuite,Formaggio pressato non cotto
Fromages Des Pays-Bas,Formaggi dei Paesi Bassi
Fromages En Tranches,Formaggio a fette
Maasdam,Maasdam
Laitier,Laitier
Biscuits Apéritifs Soufflés,Biscotti soufflé da aperitivo
Biscuits Apéritifs Soufflés À Base De Pomme De Terre,Aperitivo Biscotti di patate
Matjes,Mat
Puffed Salty Snacks,Snack salati soffiati
